,index,variable,depth,intensity_bin,mdr,dr,damage_bin_ID,damage_bin_id
1806,29668,depth_meters_2021,0.529728150132769,16,0.775,0.6655495144473306,8,8
1807,25930,depth_meters_2021,0.8921784017204865,26,0.85,0.9911412587079063,11,11
1808,30460,depth_meters_2021,0.7029766280371431,21,0.84,0.9682353150540702,11,11
1809,6085,depth_meters_2021,0.9560547330202132,28,0.85,0.9386806679917207,11,11
1810,2932,depth_meters_2021,0.8763904666425085,26,0.85,0.830560288729266,10,10
1811,20857,depth_meters_2021,0.09207095475949378,3,0.3,0.21185809655509386,4,4
1812,17207,depth_meters_2021,0.4084631437926396,12,0.675,0.7083692104998228,9,9
1813,5680,depth_meters_2021,0.9363670823054177,28,0.85,0.998454733196091,11,11
1814,14061,depth_meters_2021,0.7876282251640674,23,0.85,0.8160447995820319,10,10
1815,26713,depth_meters_2021,0.8011166150500275,24,0.85,0.9247987924900585,11,11
1816,28462,depth_meters_2021,0.38051809497070255,12,0.675,0.6826520616058817,8,8
1817,27934,depth_meters_2021,0.9206290661373702,27,0.85,0.9930203914898842,11,11
1818,6291,depth_meters_2021,0.41115996455810055,12,0.675,0.6467741751067182,8,8
1819,22005,depth_meters_2021,0.6820296816217649,20,0.83,0.9212148096270153,11,11
1820,7858,depth_meters_2021,0.5768031009555951,17,0.79,0.6872251759376904,8,8
1821,7239,depth_meters_2021,0.6069480820241625,18,0.81,0.8515328721946288,10,10
1822,5043,depth_meters_2021,0.5597757110548152,17,0.79,0.7902633796160662,9,9
1823,4345,depth_meters_2021,0.679705049872283,20,0.83,0.8465950172789553,10,10
1824,2370,depth_meters_2021,0.6131658731526234,18,0.81,0.9525808325437658,11,11
1825,25666,depth_meters_2021,0.041947663625841125,2,0.225,0.3709127614593489,5,5
1826,25777,depth_meters_2021,0.6597528249049744,20,0.83,0.901714826238569,11,11
1827,21689,depth_meters_2021,0.8924423784315979,26,0.85,0.9225779323345451,11,11
1828,5330,depth_meters_2021,0.6039658457711029,18,0.81,0.9556776071108327,11,11
1829,17647,depth_meters_2021,0.3015240930201888,9,0.6,0.7312843786140828,9,9
1830,7243,depth_meters_2021,0.4477271865096165,13,0.7,0.6849817734912724,8,8
1831,21912,depth_meters_2021,0.6505784617197481,19,0.82,0.9681730842599896,11,11
1832,11100,depth_meters_2021,0.8744599446186861,26,0.85,0.8234384739782211,10,10
1833,16077,depth_meters_2021,0.626994725626332,19,0.82,0.7577822806996107,9,9
1834,15853,depth_meters_2021,0.8755838344120409,26,0.85,0.9880306868507344,11,11
1835,10388,depth_meters_2021,0.49495186050498663,15,0.75,0.882967449721279,10,10
1836,12338,depth_meters_2021,0.1469391751852781,5,0.42,0.30957666710783216,5,5
1837,10719,depth_meters_2021,0.5509228572581565,16,0.775,0.916026271631408,11,11
1838,482,depth_meters_2021,0.6251054225180115,19,0.82,0.8971087786907558,10,10
1839,16444,depth_meters_2021,0.6653619917500772,20,0.83,0.8870595247840356,10,10
1840,13485,depth_meters_2021,0.2452605547165705,8,0.58,0.6482193758260789,8,8
1841,31248,depth_meters_2021,0.2450295443518914,8,0.58,0.6981583200181594,8,8
1842,3604,depth_meters_2021,0.7220398734564365,21,0.84,0.8313817432590032,10,10
1843,9119,depth_meters_2021,0.7184257156116673,21,0.84,0.8477332592149774,10,10
1844,18038,depth_meters_2021,0.17059513294028872,5,0.42,0.5040439104083168,7,7
1845,5459,depth_meters_2021,0.8408529993947442,25,0.85,0.9590870632771391,11,11
1846,29250,depth_meters_2021,0.37109905993334424,11,0.65,0.687775132415563,8,8
1847,8730,depth_meters_2021,0.9240671736198158,27,0.85,0.9818398011505297,11,11
1848,26795,depth_meters_2021,0.5190188662703534,16,0.775,0.8935529031133902,10,10
1849,19629,depth_meters_2021,0.035453193383909176,2,0.225,0.37430304335463,5,5
1850,28835,depth_meters_2021,0.9125426854939765,27,0.85,0.9449391270520785,11,11
1851,17370,depth_meters_2021,0.4186136098115668,13,0.7,0.7992860754022654,9,9
1852,19089,depth_meters_2021,0.784969345106749,23,0.85,0.7720807211175362,9,9
1853,19345,depth_meters_2021,0.6912742304819128,21,0.84,0.8126437890131141,10,10
1854,10020,depth_meters_2021,0.6956825260536349,21,0.84,0.9634460153232607,11,11
1855,23508,depth_meters_2021,0.14896554005620932,5,0.42,0.35638980731252484,5,5
1856,11150,depth_meters_2021,0.13658423038767276,4,0.36,0.5050875680735556,7,7
1857,20651,depth_meters_2021,0.23306035639077793,7,0.55,0.5451383383543315,7,7
1858,5822,depth_meters_2021,0.6643721789027432,20,0.83,0.9701315191189013,11,11
1859,23022,depth_meters_2021,0.8513577508140165,25,0.85,0.8039993452322745,10,10
1860,11596,depth_meters_2021,0.3936541235894747,12,0.675,0.749454785967889,9,9
1861,20337,depth_meters_2021,0.9458673726128398,28,0.85,0.9858008286199214,11,11
1862,25620,depth_meters_2021,0.6580267411815531,20,0.83,0.9564316732970537,11,11
1863,20799,depth_meters_2021,0.5709595465615782,17,0.79,0.9192190249756784,11,11
1864,31346,depth_meters_2021,0.3139254150842974,10,0.625,0.7255363992842114,9,9
1865,6493,depth_meters_2021,0.8174059836506816,24,0.85,0.9852530702155395,11,11
1866,12630,depth_meters_2021,0.7843877720594568,23,0.85,0.9294474050539557,11,11
1867,26377,depth_meters_2021,0.1384756319996524,5,0.42,0.4595373494097478,6,6
